PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Lorenzo Carter,2561015,LB,FA,Bye,,,,,,,,,,,,,,,,,,218,0.00
K'Lavon Chaisson,2564166,LB,NE,BUF,,,,,,,,,,,,,,,,,,219,0.00
Chaz Chambliss,2574342,LB,MIN,@DAL,,,,,,,,,,,,,,,,,,220,0.00
Jake Chaney,2574664,LB,FA,Bye,,,,,,,,,,,,,,,,,,221,0.00
Cole Christiansen,2565021,LB,KC,LAC,,,,,,,,,,,,,,,,,,222,0.00
Jimmy Ciarlo,2572684,LB,MIA,@PIT,,,,,,,,,,,,,,,,,,223,0.00
K.J. Cloyd,2573283,LB,FA,Bye,,,,,,,,,,,,,,,,,,224,0.00
Seth Coleman,2574557,LB,FA,Bye,,,,,,,,,,,,,,,,,,225,0.00
Junior Colson,2572465,LB,LAC,@KC,,,,,,,,,,,,,,,,,,226,0.00
Zach Cunningham,2558094,LB,DET,@LAR,,,,,,,,,,,,,,,,,,227,0.00
Jamin Davis,2566595,LB,LV,@PHI,,,,,,,,,,,,,,,,,,228,0.00
SirVocea Dennis,2570347,LB,TB,ATL,,,,,,,,,,,,,,,,,,229,0.00
Solomon DeShields,2574185,LB,FA,Bye,,,,,,,,,,,,,,,,,,230,0.00
Victor Dimukeje,2566424,LB,NYG,WAS,,,,,,,,,,,,,,,,,,231,0.00
De'Shaan Dixon,2567736,LB,FA,Bye,,,,,,,,,,,,,,,,,,232,0.00
Lance Dixon,2574457,LB,FA,Bye,,,,,,,,,,,,,,,,,,233,0.00
Shaun Dolac,2574264,LB,LAR,DET,,,,,,,,,,,,,,,,,,234,0.00
Bud Dupree,2552289,LB,LAC,@KC,,,,,,,,,,,,,,,,,,235,0.00
Power Echols,2574007,LB,HOU,ARI,,,,,,,,,,,,,,,,,,236,0.00
Tremaine Edmunds,2560713,LB,CHI,CLE,,,,,,,,,,,,,,,,,,237,0.00
Milo Eifler,2565729,LB,FA,Bye,,,,,,,,,,,,,,,,,,238,0.00
Andrew Farmer,2571545,LB,SF,TEN,,,,,,,,,,,,,,,,,,239,0.00
Tony Fields II,2565971,LB,FA,Bye,,,,,,,,,,,,,,,,,,240,0.00
Demetrius Flannigan-Fowles,2563090,LB,NYG,WAS,,,,,,,,,,,,,,,,,,241,0.00
Dante Fowler Jr.,2553431,LB,DAL,MIN,,,,,,,,,,,,,,,,,,242,0.00
Jalan Gaines,2574560,LB,FA,Bye,,,,,,,,,,,,,,,,,,243,0.00
Dallas Gant,2573289,LB,FA,Bye,,,,,,,,,,,,,,,,,,244,0.00
David Gbenda,2574149,LB,FA,Bye,,,,,,,,,,,,,,,,,,245,0.00
Brandon George,2574245,LB,KC,LAC,,,,,,,,,,,,,,,,,,246,0.00
DaRon Gilbert,2573127,LB,FA,Bye,,,,,,,,,,,,,,,,,,247,0.00
Cam Gill,2565216,LB,FA,Bye,,,,,,,,,,,,,,,,,,248,0.00
Jalen Graham,2570311,LB,SF,TEN,,,,,,,,,,,,,,,,,,249,0.00
Antonio Grier Jr.,2573566,LB,FA,Bye,,,,,,,,,,,,,,,,,,250,0.00
Kylan Guidry,2574513,LB,FA,Bye,,,,,,,,,,,,,,,,,,251,0.00
Malik Hamm,2570392,LB,BAL,@CIN,,,,,,,,,,,,,,,,,,252,0.00
Nick Hampton,2570008,LB,LAR,DET,,,,,,,,,,,,,,,,,,253,0.00
Matt Harmon,2574347,LB,FA,Bye,,,,,,,,,,,,,,,,,,254,0.00
Devin Harper,2567499,LB,FA,Bye,,,,,,,,,,,,,,,,,,255,0.00
Darius Harris,2563108,LB,NE,BUF,,,,,,,,,,,,,,,,,,256,0.00
Shaka Heyward,2570831,LB,CIN,BAL,,,,,,,,,,,,,,,,,,257,0.00
Jordan Hicks,2552315,LB,FA,Bye,,,,,,,,,,,,,,,,,,258,0.00
Jay Higgins,2573930,LB,BAL,@CIN,,,,,,,,,,,,,,,,,,259,0.00
Michael Hoecht,2564346,LB,BUF,@NE,,,,,,,,,,,,,,,,,,260,0.00
Justin Hollins,2562285,LB,FA,Bye,,,,,,,,,,,,,,,,,,261,0.00
Khaleke Hudson,2565279,LB,FA,Bye,,,,,,,,,,,,,,,,,,262,0.00
Ruben Hyppolite II,2574011,LB,CHI,CLE,,,,,,,,,,,,,,,,,,263,0.00
Thomas Incoom,2570921,LB,CAR,@NO,,,,,,,,,,,,,,,,,,264,0.00
Adisa Isaac,2571826,LB,BAL,@CIN,,,,,,,,,,,,,,,,,,265,0.00
Jared Ivey,2574562,LB,SEA,IND,,,,,,,,,,,,,,,,,,266,0.00
Brennan Jackson,2572198,LB,LV,@PHI,,,,,,,,,,,,,,,,,,267,0.00
D'Eryk Jackson,2574563,LB,FA,Bye,,,,,,,,,,,,,,,,,,268,0.00
Dequan Jackson,2571041,LB,FA,Bye,,,,,,,,,,,,,,,,,,269,0.00
Curtis Jacobs,2572826,LB,FA,Bye,,,,,,,,,,,,,,,,,,270,0.00
Keonta Jenkins,2573964,LB,BUF,@NE,,,,,,,,,,,,,,,,,,271,0.00
