PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Mason Kinsey,2565459,WR,TEN,@JAX,,,,,,0.58,6.68,0.04,,,,,1.20,119,212,0.00,-1.2
Christian Kirk,2560781,WR,HOU,IND,,,,0.28,,2.49,33.31,0.23,,,,0.05,5.88,60,213,0.00,-5.88
Keith Kirkwood,2561224,WR,BAL,@PIT,,,,,,,,,,,,,0.00,292,214,0.00,0.0
Malik Knowles,2571216,WR,FA,Bye,,,,,,,,,,,,,,293,215,0.00,
Cooper Kupp,2557898,WR,SEA,@SF,,,,0.13,,3.21,40.29,0.28,,,,0.05,7.23,42,216,0.00,-7.23
CeeDee Lamb,2563848,WR,DAL,@NYG,,,,2.99,0.02,5.62,82.68,0.4,,,,0.06,13.78,5,217,0.00,-13.78
KeAndre Lambert-Smith,2574521,WR,LAC,@DEN,,,,2.22,0.02,2.43,31.03,0.24,,,,0.03,6.04,56,218,0.00,-6.04
Matt Landers,2571351,WR,FA,Bye,,,,,,,,,,,,,,294,219,0.00,
Jaylin Lane,2574612,WR,WAS,@PHI,,,,,,,,,,,,,0.00,295,220,0.00,0.0
Gage Larvadain,2574054,WR,CLE,@CIN,,,,,,,,,,,,,0.00,296,221,0.00,0.0
Darius Lassiter,2574222,WR,FA,Bye,,,,,,,,,,,,,,297,222,0.00,
Allen Lazard,2560787,WR,FA,Bye,,,,,,,,,,,,,,298,223,0.00,
Xavier Legette,2571889,WR,CAR,@TB,,,,0.59,0.01,2.18,25.67,0.2,,,,0.04,4.90,74,224,0.00,-4.9
Montana Lemonious-Craig,2574622,WR,FA,Bye,,,,,,,,,,,,,,299,225,0.00,
Robert Lewis,2574353,WR,FA,Bye,,,,,,,,,,,,,,300,226,0.00,
Tyler Lockett,2552430,WR,LV,KC,,,,,,1.92,21.78,0.14,,,,0.02,3.94,91,227,0.00,-3.94
Drake London,2567250,WR,ATL,NO,,,,0.34,,4.83,66.46,0.58,,,,0.05,12.48,8,228,0.00,-12.48
Dominic Lovett,2574115,WR,DET,@CHI,,,,,,,,,,,,,0.00,301,229,0.00,0.0
T.J. Luther,2570599,WR,FA,Bye,,,,,,,,,,,,,,302,230,0.00,
Phil Lutz,2574668,WR,FA,Bye,,,,,,,,,,,,,,303,231,0.00,
Terrace Marshall Jr.,2565902,WR,PHI,WAS,,,,,,,,,,,,,0.00,304,232,0.00,0.0
Tay Martin,2569254,WR,FA,Bye,,,,,,,,,,,,,,305,233,0.00,
Jesse Matthews,2571011,WR,FA,Bye,,,,,,,,,,,,,,306,234,0.00,
Jamoi Mayes,2574034,WR,FA,Bye,,,,,,,,,,,,,,307,235,0.00,
Luke McCaffrey,2572576,WR,WAS,@PHI,,,,,,,,,,,,,0.00,308,236,0.00,0.0
Ray-Ray McCloud,2560801,WR,FA,Bye,,,,,,,,,,,,,,309,237,0.00,
Nate McCollum,2574619,WR,FA,Bye,,,,,,,,,,,,,,310,238,0.00,
Ladd McConkey,2572477,WR,LAC,@DEN,,,,,,0.17,2.26,0.02,,,,,0.43,132,239,0.00,-0.43
Lance McCutcheon,2567847,WR,TEN,@JAX,,,,,,,,,,,,,0.00,311,240,0.00,0.0
Cade McDonald,2574058,WR,FA,Bye,,,,,,,,,,,,,,312,241,0.00,
Terry McLaurin,2562489,WR,WAS,@PHI,,,,0.24,,3.72,57.77,0.4,,,,0.05,9.96,19,242,0.00,-9.96
Jalen McMillan,2572552,WR,TB,CAR,,,,,,2.29,31.97,0.3,,,,0.12,5.90,59,243,0.00,-5.9
Tetairoa McMillan,2573992,WR,CAR,@TB,,,,0.53,0.01,4.71,70.37,0.48,,,,0.06,12.27,9,244,0.00,-12.27
Bub Means,2572324,WR,NO,@ATL,,,,,,,,,,,,,0.00,313,245,0.00,0.0
