PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Fentrell Cypress II,2574609,DB,FA,,,,,,,,,,,,,,,,,,455,0.00
Cameron Dantzler,2564526,DB,FA,,,,,,,,,,,,,,,,,,456,0.00
Ronald Darby,2552689,DB,FA,,,,,,,,,,,,,,,,,,457,0.00
Elliott Davison,2574396,DB,NO,,,,,,,,,,,,,,,,,,458,0.00
MJ Devonshire,2572222,DB,BUF,,,,,,,,,,,,,,,,,,459,0.00
Marcellas Dial Jr.,2572291,DB,NE,,,,,,,,,,,,,,,,,,460,0.00
Malik Dixon-Williams,2574263,DB,FA,,,,,,,,,,,,,,,,,,461,0.00
Mello Dotson,2574290,DB,FA,,,,,,,,,,,,,,,,,,462,0.00
Michael Dowell,2572992,DB,FA,,,,,,,,,,,,,,,,,,463,0.00
Isaiah Dunn,2565720,DB,FA,,,,,,,,,,,,,,,,,,464,0.00
Terrell Edmunds,2560712,DB,LV,,,,,,,,,,,,,,,,,,465,0.00
Martin Emerson,2567466,DB,CLE,,,,,,,,,,,,,,,,,,466,0.00
JayVian Farr,2574662,DB,FA,,,,,,,,,,,,,,,,,,467,0.00
AJ Finley,2571294,DB,SEA,,,,,,,,,,,,,,,,,,468,0.00
Tre Flowers,2560728,DB,PIT,,,,,,,,,,,,,,,,,,469,0.00
Tra Fluellen,2573905,DB,FA,,,,,,,,,,,,,,,,,,470,0.00
Darrick Forrest,2566598,DB,FA,,,,,,,,,,,,,,,,,,471,0.00
O'Donnell Fortune,2574423,DB,FA,,,,,,,,,,,,,,,,,,472,0.00
Zah Frazier,2574009,DB,CHI,,,,,,,,,,,,,,,,,,473,0.00
Tyrek Funderburk,2573563,DB,MIN,,,,,,,,,,,,,,,,,,474,0.00
Keenan Garber,2574346,DB,DET,,,,,,,,,,,,,,,,,,475,0.00
Mekhi Garner,2570644,DB,FA,,,,,,,,,,,,,,,,,,476,0.00
Allan George,2568591,DB,FA,,,,,,,,,,,,,,,,,,477,0.00
Isaac Gifford,2573982,DB,FA,,,,,,,,,,,,,,,,,,478,0.00
Stephon Gilmore,2533062,DB,FA,,,,,,,,,,,,,,,,,,479,0.00
Steven Gilmore,2570954,DB,FA,,,,,,,,,,,,,,,,,,480,0.00
Mario Goodrich,2568084,DB,FA,,,,,,,,,,,,,,,,,,481,0.00
Thomas Graham Jr.,2565923,DB,FA,,,,,,,,,,,,,,,,,,482,0.00
Kahlef Hailassie,2570719,DB,MIN,,,,,,,,,,,,,,,,,,483,0.00
Bryce Hall,2564796,DB,TB,,,,,,,,,,,,,,,,,,484,0.00
Tyler Hall,2563497,DB,SEA,,,,,,,,,,,,,,,,,,485,0.00
Dominique Hampton,2572567,DB,CHI,,,,,,,,,,,,,,,,,,486,0.00
Harrison Hand,2564547,DB,FA,,,,,,,,,,,,,,,,,,487,0.00
Daequan Hardy,2571868,DB,PIT,,,,,,,,,,,,,,,,,,488,0.00
Bruce Harmon,2574075,DB,FA,,,,,,,,,,,,,,,,,,489,0.00
Jermari Harris,2574150,DB,FA,,,,,,,,,,,,,,,,,,490,0.00
Tre Hawkins III,2570164,DB,WAS,,,,,,,,,,,,,,,,,,491,0.00
Kaleb Hayes,2571020,DB,FA,,,,,,,,,,,,,,,,,,492,0.00
Azizi Hearn,2571087,DB,FA,,,,,,,,,,,,,,,,,,493,0.00
Jack Henderson,2573984,DB,MIA,,,,,,,,,,,,,,,,,,494,0.00
Tre Herndon,2561340,DB,FA,,,,,,,,,,,,,,,,,,495,0.00
Tyron Herring,2574131,DB,GB,,,,,,,,,,,,,,,,,,496,0.00
Garnett Hollis Jr.,2574644,DB,FA,,,,,,,,,,,,,,,,,,497,0.00
Christian Holmes,2568330,DB,FA,,,,,,,,,,,,,,,,,,498,0.00
Gavin Holmes,2574110,DB,FA,,,,,,,,,,,,,,,,,,499,0.00
Maxen Hook,2574459,DB,SEA,,,,,,,,,,,,,,,,,,500,0.00
John Humphrey,2574296,DB,FA,,,,,,,,,,,,,,,,,,501,0.00
Desmond Igbinosun,2573934,DB,FA,,,,,,,,,,,,,,,,,,502,0.00
Keenan Isaac,2571623,DB,FA,,,,,,,,,,,,,,,,,,503,0.00
Dan Jackson,2574112,DB,DET,,,,,,,,,,,,,,,,,,504,0.00
Lamar Jackson,2565513,DB,FA,,,,,,,,,,,,,,,,,,505,0.00
LaMareon James,2574050,DB,FA,,,,,,,,,,,,,,,,,,506,0.00
D'Shawn Jamison,2571318,DB,PIT,,,,,,,,,,,,,,,,,,507,0.00
Shemar Jean-Charles,2566079,DB,SEA,,,,,,,,,,,,,,,,,,508,0.00
Gabe Jeudy-Lally,2573461,DB,FA,,,,,,,,,,,,,,,,,,509,0.00
Alex Johnson,2573494,DB,FA,,,,,,,,,,,,,,,,,,510,0.00
Anthony Johnson Jr.,2569789,DB,NYG,,,,,,,,,,,,,,,,,,511,0.00
Emany Johnson,2573055,DB,LAC,,,,,,,,,,,,,,,,,,512,0.00
Quindell Johnson,2569981,DB,FA,,,,,,,,,,,,,,,,,,513,0.00
Tysheem Johnson,2574012,DB,ATL,,,,,,,,,,,,,,,,,,514,0.00
Shaun Jolly,2568645,DB,FA,,,,,,,,,,,,,,,,,,515,0.00
Gregory Junior,2567748,DB,FA,,,,,,,,,,,,,,,,,,516,0.00
Damontae Kazee,2558184,DB,DET,,,,,,,,,,,,,,,,,,517,0.00
Anthony Kendall,2571467,DB,CLE,,,,,,,,,,,,,,,,,,518,0.00
Ian Kennelly,2574114,DB,FA,,,,,,,,,,,,,,,,,,519,0.00
Donte Kent,2574497,DB,PIT,,,,,,,,,,,,,,,,,,520,0.00
Jaylen Key,2572366,DB,FA,,,,,,,,,,,,,,,,,,521,0.00
Jalen Kimber,2574154,DB,CIN,,,,,,,,,,,,,,,,,,522,0.00
Kalen King,2572039,DB,ARI,,,,,,,,,,,,,,,,,,523,0.00
Kevin King,2557996,DB,FA,,,,,,,,,,,,,,,,,,524,0.00
Kader Kohou,2569032,DB,MIA,,,,,,,,,,,,,,,,,,525,0.00
Bilhal Kone,2573938,DB,BAL,,,,,,,,,,,,,,,,,,526,0.00
Cam Lampkin,2573817,DB,LAR,,,,,,,,,,,,,,,,,,527,0.00
Clarence Lewis,2574155,DB,FA,,,,,,,,,,,,,,,,,,528,0.00
David Long,2562798,DB,CAR,,,,,,,,,,,,,,,,,,529,0.00
Robert Longerbeam,2573939,DB,BAL,,,,,,,,,,,,,,,,,,530,0.00
Keni-H Lovely,2572914,DB,JAX,,,,,,,,,,,,,,,,,,531,0.00
Shaquan Loyal,2574032,DB,FA,,,,,,,,,,,,,,,,,,532,0.00
Jaylen Mahoney,2573527,DB,NYJ,,,,,,,,,,,,,,,,,,533,0.00
Jason Maitre,2573852,DB,MIA,,,,,,,,,,,,,,,,,,534,0.00
Dontae Manning,2573913,DB,CHI,,,,,,,,,,,,,,,,,,535,0.00
Tyrann Mathieu,2540180,DB,FA,,,,,,,,,,,,,,,,,,536,0.00
Damarri Mathis,2567529,DB,CAR,,,,,,,,,,,,,,,,,,537,0.00
Christian Matthew,2568114,DB,FA,,,,,,,,,,,,,,,,,,538,0.00
BJ Mayes,2574464,DB,FA,,,,,,,,,,,,,,,,,,539,0.00
Tanner McCalister,2570855,DB,KC,,,,,,,,,,,,,,,,,,540,0.00
Cameron McCutcheon,2571512,DB,FA,,,,,,,,,,,,,,,,,,541,0.00
Robert McDaniel,2574614,DB,WAS,,,,,,,,,,,,,,,,,,542,0.00
Dwight McGlothern,2573310,DB,MIN,,,,,,,,,,,,,,,,,,543,0.00
Kyler McMichael,2569302,DB,FA,,,,,,,,,,,,,,,,,,544,0.00
Patrick McMorris,2572246,DB,NYG,,,,,,,,,,,,,,,,,,545,0.00
Zech McPhearson,2566406,DB,FA,,,,,,,,,,,,,,,,,,546,0.00
D.J. Miller,2572838,DB,FA,,,,,,,,,,,,,,,,,,547,0.00
Glendon Miller,2574251,DB,FA,,,,,,,,,,,,,,,,,,548,0.00
Josh Minkins,2574377,DB,FA,,,,,,,,,,,,,,,,,,549,0.00
Tarvarius Moore,2561117,DB,FA,,,,,,,,,,,,,,,,,,550,0.00
TJ Moore,2574425,DB,NYG,,,,,,,,,,,,,,,,,,551,0.00
R.J. Moten,2574647,DB,FA,,,,,,,,,,,,,,,,,,552,0.00
Jabbar Muhammad,2574227,DB,JAX,,,,,,,,,,,,,,,,,,553,0.00
