PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Mitchell Agude,2571111,LB,FA,,,,,,,,,,,,,,,,,,287,0.00
Troy Andersen,2567235,LB,ATL,,,,,,,,,,,,,,,,,,288,0.00
Liam Anderson,2570521,LB,CIN,,,,,,,,,,,,,,,,,,289,0.00
Kam Arnold,2574604,LB,KC,,,,,,,,,,,,,,,,,,290,0.00
Brian Asamoah II,2567901,LB,CIN,,,,,,,,,,,,,,,,,,291,0.00
Eugene Asante,2574317,LB,ATL,,,,,,,,,,,,,,,,,,292,0.00
Levelle Bailey,2573079,LB,DEN,,,,,,,,,,,,,,,,,,293,0.00
Amare Barno,2567346,LB,FA,,,,,,,,,,,,,,,,,,294,0.00
Michael Barrett,2571880,LB,FA,,,,,,,,,,,,,,,,,,295,0.00
Justin Barron,2574067,LB,DAL,,,,,,,,,,,,,,,,,,296,0.00
Jared Bartlett,2574432,LB,ARI,,,,,,,,,,,,,,,,,,297,0.00
Abraham Beauplan,2571180,LB,FA,,,,,,,,,,,,,,,,,,298,0.00
Stone Blanton,2574536,LB,FA,,,,,,,,,,,,,,,,,,299,0.00
Elliott Brown,2574475,LB,ARI,,,,,,,,,,,,,,,,,,300,0.00
J.B. Brown,2574085,LB,FA,,,,,,,,,,,,,,,,,,301,0.00
Amari Burney,2570041,LB,FA,,,,,,,,,,,,,,,,,,302,0.00
Chance Campbell,2567646,LB,PHI,,,,,,,,,,,,,,,,,,303,0.00
Andre Carter II,2571207,LB,MIA,,,,,,,,,,,,,,,,,,304,0.00
Lorenzo Carter,2561015,LB,FA,,,,,,,,,,,,,,,,,,305,0.00
Jake Chaney,2574664,LB,FA,,,,,,,,,,,,,,,,,,306,0.00
Jimmy Ciarlo,2572684,LB,MIA,,,,,,,,,,,,,,,,,,307,0.00
K.J. Cloyd,2573283,LB,FA,,,,,,,,,,,,,,,,,,308,0.00
Seth Coleman,2574557,LB,FA,,,,,,,,,,,,,,,,,,309,0.00
Junior Colson,2572465,LB,LAC,,,,,,,,,,,,,,,,,,310,0.00
Solomon DeShields,2574185,LB,FA,,,,,,,,,,,,,,,,,,311,0.00
