PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Matthew Butler,2567871,DL,MIA,7,5,,,,,,,,,,,,,2,,,235,14.50
LaBryan Ray,2568441,DL,CAR,7,6,,,,,,,,,,,,,,,,236,14.10
Esezi Otomewo,2567928,DL,PIT,5,4,1,1,,,,,,,,,,,1,,,237,13.90
Sheldon Day,2555241,DL,WAS,6,7,,,,,,,,,,,,,1,,,238,13.70
Brenton Cox Jr.,2570509,DL,GB,2,3,1,1,,1,,,,,,,,,3,,,239,13.30
Pat O'Connor,2558863,DL,DET,5,5,,,,,,,,,,,,1,,,,240,13.00
Matt Dickerson,2561044,DL,JAX,2,8,,1,,,,,,,,,,1,2,,,241,12.80
JJ Pegues,2574305,DL,LV,4,7,,1,,,1,,,,,,,,,,,242,12.70
Shemar Turner,2574020,DL,CHI,6,,,2,,,,,,,,,,,,,,243,12.00
Chris Wormley,2557862,DL,IND,4,3,1,1,,,,,,,,,,,1,,,244,11.80
Jay Tufele,2566172,DL,NYJ,5,7,,,,,,,,,,,,,,,,245,11.70
Brandon Pili,2571153,DL,SEA,1,11,,,,1,,,,,,,,,,,,246,11.60
Tyler Baron,2574431,DL,NYJ,5,4,,1,,,,,,,,,,,,,,247,11.40
Phidarian Mathis,2568339,DL,BUF,4,9,,,,,,,,,,,,,,,,248,11.40
Eric Watts,2572726,DL,NYJ,6,4,,,,,,,,,,,,,,,,249,11.40
John Ridgeway,2567502,DL,NO,3,8,,1,,,,,,,,,,,1,,,250,11.30
Elijah Garcia,2567829,DL,ATL,2,7,1,1,,,,,,,,,,,1,,,251,11.20
Robert Beal Jr.,2570299,DL,SF,3,11,,,,,,,,,,,,,,,,252,11.10
Tanoh Kpassagnon,2558185,DL,FA,4,1,1,1,,,,,,,,,,,2,,,253,11.10
Yetur Gross-Matos,2563641,DL,SF,3,5,,,,,,,,,,,,1,2,,,254,11.00
Elijah Williams,2574361,DL,MIN,6,3,,,,,,,,,,,,,,,,255,10.80
Omarr Norman-Lott,2574252,DL,KC,4,1,1,1,,,,,,,,,,,1,,,256,10.60
Daniel Ekuale,2561458,DL,PIT,4,2,,,,,,,,,,,,1,1,,,257,10.20
Cam Jackson,2573987,DL,CAR,2,7,,,,,,,,,,,1,,,,,258,10.20
Scott Matlock,2570284,DL,LAC,,,,,,,1,,,,,,,,,,,259,10.20
Payton Page,2574446,DL,NYJ,5,1,,1,,,,,,,,,,,,,,260,9.60
Javontae Jean-Baptiste,2572570,DL,WAS,2,4,1,1,,,,,,,,,,,1,,,261,9.40
Arron Mosby,2568564,DL,GB,5,3,,,,,,,,,,,,,,,,262,9.30
Nazir Stackhouse,2574138,DL,GB,2,10,,,,,,,,,,,,,,,,263,9.00
Ricky Barber,2574605,DL,WAS,2,3,1,1,,,,,,,,,,,1,,,264,8.80
Eric Johnson,2567703,DL,IND,4,2,,1,,,,,,,,,,,,,,265,8.70
Logan Lee,2572444,DL,PIT,2,,,,,,,,,,,,,2,1,,,266,8.50
Ty Hamilton,2574268,DL,LAR,1,10,,,,,,,,,,,,,1,,,267,8.00
C.J. Ravenell,2572866,DL,TEN,1,5,,,,1,,,,,,,,,,,,268,8.00
