PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Bryan Bresee,2570128,DL,NO,@TEN,,,,,,,,,,,,,,,,,,226,0.00
C.J. Brewer,2569330,DL,TB,@MIA,,,,,,,,,,,,,,,,,,227,0.00
Warren Brinson,2574126,DL,GB,BAL,,,,,,,,,,,,,,,,,,228,0.00
Josiah Bronson,2565690,DL,FA,Bye,,,,,,,,,,,,,,,,,,229,0.00
Vernon Broughton,2574393,DL,NO,@TEN,,,,,,,,,,,,,,,,,,230,0.00
Earnest Brown IV,2566202,DL,DAL,@WAS,,,,,,,,,,,,,,,,,,231,0.00
Shakel Brown,2571479,DL,FA,Bye,,,,,,,,,,,,,,,,,,232,0.00
Taven Bryan,2560983,DL,BAL,@GB,,,,,,,,,,,,,,,,,,233,0.00
DeForest Buckner,2555275,DL,IND,JAX,,,,,,,,,,,,,,,,,,234,0.00
Solomon Byrd,2572084,DL,HOU,@LAC,,,,,,,,,,,,,,,,,,235,0.00
Anthony Campbell,2574625,DL,GB,BAL,,,,,,,,,,,,,,,,,,236,0.00
Xavier Carlton,2574006,DL,FA,Bye,,,,,,,,,,,,,,,,,,237,0.00
Owen Carney,2569011,DL,FA,Bye,,,,,,,,,,,,,,,,,,238,0.00
James Carpenter,2574210,DL,FA,Bye,,,,,,,,,,,,,,,,,,239,0.00
DeWayne Carter,2571853,DL,BUF,PHI,,,,,,,,,,,,,,,,,,240,0.00
Nelson Ceaser,2572753,DL,FA,Bye,,,,,,,,,,,,,,,,,,241,0.00
Elijah Chatman,2573820,DL,NYG,@LV,,,,,,,,,,,,,,,,,,242,0.00
Kameron Cline,2564109,DL,FA,Bye,,,,,,,,,,,,,,,,,,243,0.00
Keondre Coburn,2569924,DL,FA,Bye,,,,,,,,,,,,,,,,,,244,0.00
Myles Cole,2572135,DL,FA,Bye,,,,,,,,,,,,,,,,,,245,0.00
Maliek Collins,2555400,DL,CLE,PIT,,,,,,,,,,,,,,,,,,246,0.00
Keith Cooper Jr.,2574106,DL,CLE,PIT,,,,,,,,,,,,,,,,,,247,0.00
Byron Cowart,2562392,DL,FA,Bye,,,,,,,,,,,,,,,,,,248,0.00
Brenton Cox Jr.,2570509,DL,GB,BAL,,,,,,,,,,,,,,,,,,249,0.00
Maxx Crosby,2562439,DL,LV,NYG,,,,,,,,,,,,,,,,,,250,0.00
Howard Cross III,2574027,DL,CIN,ARI,,,,,,,,,,,,,,,,,,251,0.00
Jaden Crumedy,2571886,DL,CAR,SEA,,,,,,,,,,,,,,,,,,252,0.00
Michael Danna,2564262,DL,KC,DEN,,,,,,,,,,,,,,,,,,253,0.00
DJ Davidson,2567991,DL,NYG,@LV,,,,,,,,,,,,,,,,,,254,0.00
Marlon Davidson,2563479,DL,HOU,@LAC,,,,,,,,,,,,,,,,,,255,0.00
Carl Davis,2552280,DL,FA,Bye,,,,,,,,,,,,,,,,,,256,0.00
Devonta Davis,2574184,DL,FA,Bye,,,,,,,,,,,,,,,,,,257,0.00
Domenique Davis,2565501,DL,FA,Bye,,,,,,,,,,,,,,,,,,258,0.00
Jasheen Davis,2574395,DL,FA,Bye,,,,,,,,,,,,,,,,,,259,0.00
Denzel Daxon,2573046,DL,ARI,@CIN,,,,,,,,,,,,,,,,,,260,0.00
Fadil Diggs,2574398,DL,NO,@TEN,,,,,,,,,,,,,,,,,,261,0.00
Ethan Downs,2574213,DL,KC,DEN,,,,,,,,,,,,,,,,,,262,0.00
Michael Dwumfour,2565723,DL,FA,Bye,,,,,,,,,,,,,,,,,,263,0.00
Mario Edwards,2553433,DL,HOU,@LAC,,,,,,,,,,,,,,,,,,264,0.00
TeRah Edwards,2574509,DL,LAC,HOU,,,,,,,,,,,,,,,,,,265,0.00
Daniel Ekuale,2561458,DL,PIT,@CLE,,,,,,,,,,,,,,,,,,266,0.00
James Ester,2572657,DL,GB,BAL,,,,,,,,,,,,,,,,,,267,0.00
Desmond Evans,2574148,DL,FA,Bye,,,,,,,,,,,,,,,,,,268,0.00
Joe Evans,2574641,DL,FA,Bye,,,,,,,,,,,,,,,,,,269,0.00
