PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Reese Taylor,2570722,DB,DEN,GB,,,,,,,,,,,,,,,,,,0.00,582,580,0.00,0.0
Trey Taylor,2572240,DB,FA,Bye,,,,,,,,,,,,,,,,,,,583,581,0.00,
Cam Taylor-Britt,2567454,DB,CIN,BAL,,,,,,,,,,,,,,,,,,0.00,584,582,0.00,0.0
Dadrion Taylor-Demerson,2572432,DB,ARI,@HOU,,,,,,,,,,,,,,,,,,0.00,585,583,0.00,0.0
Ladarius Tennison,2574198,DB,FA,Bye,,,,,,,,,,,,,,,,,,,586,584,0.00,
Ambry Thomas,2566547,DB,FA,Bye,,,,,,,,,,,,,,,,,,,587,585,0.00,
Azareye'h Thomas,2574452,DB,NYJ,@JAX,,,,,,,,,,,,,,,,,,0.00,588,586,0.00,0.0
Juanyeh Thomas,2568720,DB,DAL,MIN,,,,,,,,,,,,,,,,,,0.00,589,587,0.00,0.0
Starling Thomas V,2570963,DB,ARI,@HOU,,,,,,,,,,,,,,,,,,0.00,590,588,0.00,0.0
Trevian Thomas,2574001,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,591,589,0.00,0.0
Stantley Thomas-Oliver,2563689,DB,FA,Bye,,,,,,,,,,,,,,,,,,,592,590,0.00,
Jalen Thompson,2563339,DB,ARI,@HOU,,,,,,,,,,,,,,,,,,0.00,593,591,0.00,0.0
Josh Thompson,2567775,DB,FA,Bye,,,,,,,,,,,,,,,,,,,594,592,0.00,
Juan Thornhill,2562761,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,595,593,0.00,0.0
Corey Thornton,2574002,DB,CAR,@NO,,,,,,,,,,,,,,,,,,0.00,596,594,0.00,0.0
Tre Tomlinson,2569978,DB,SF,TEN,,,,,,,,,,,,,,,,,,0.00,597,595,0.00,0.0
Cory Trice Jr.,2570254,DB,PIT,MIA,,,,,,,,,,,,,,,,,,0.00,598,596,0.00,0.0
Delarrin Turner-Yell,2567532,DB,DEN,GB,,,,,,,,,,,,,,,,,,0.00,599,597,0.00,0.0
Nate Valcarcel,2574281,DB,FA,Bye,,,,,,,,,,,,,,,,,,,600,598,0.00,
Greedy Vance,2574313,DB,LV,@PHI,,,,,,,,,,,,,,,,,,0.00,601,599,0.00,0.0
Zemaiah Vaughn,2574359,DB,MIN,@DAL,,,,,,,,,,,,,,,,,,0.00,602,600,0.00,0.0
Malik Verdon,2573919,DB,ATL,@TB,,,,,,,,,,,,,,,,,,0.00,603,601,0.00,0.0
Mikey Victor,2573352,DB,FA,Bye,,,,,,,,,,,,,,,,,,,604,602,0.00,
Car'lin Vigers,2574617,DB,WAS,@NYG,,,,,,,,,,,,,,,,,,0.00,605,603,0.00,0.0
Shaun Wade,2565854,DB,FA,Bye,,,,,,,,,,,,,,,,,,,606,604,0.00,
Jeremiah Walker,2574022,DB,FA,Bye,,,,,,,,,,,,,,,,,,,607,605,0.00,
K'Von Wallace,2564871,DB,HOU,ARI,,,,,,,,,,,,,,,,,,0.00,609,606,0.00,0.0
Levi Wallace,2560914,DB,FA,Bye,,,,,,,,,,,,,,,,,,,610,607,0.00,
Justin Walley,2574203,DB,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,611,608,0.00,0.0
Charvarius Ward,2561417,DB,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,612,609,0.00,0.0
Denzel Ward,2560916,DB,CLE,@CHI,,,,,,,,,,,,,,,,,,0.00,613,610,0.00,0.0
Jay Ward,2570089,DB,MIN,@DAL,0.35,0.24,,,0.12,,,,,,,,,0.29,,,,1.81,205,611,0.00,-1.81
Jimmie Ward,2543741,DB,HOU,ARI,,,,,,,,,,,,,,,,,,0.00,614,612,0.00,0.0
Trey Washington,2574205,DB,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,615,613,0.00,0.0
Isas Waxter,2574577,DB,LAC,@KC,,,,,,,,,,,,,,,,,,0.00,616,614,0.00,0.0
Aydan White,2574236,DB,FA,Bye,,,,,,,,,,,,,,,,,,,618,615,0.00,
Nick Whiteside,2571635,DB,DET,@LAR,,,,,,,,,,,,,,,,,,0.00,619,616,0.00,0.0
Damarion Williams,2567316,DB,TB,ATL,,,,,,,,,,,,,,,,,,0.00,620,617,0.00,0.0
Darious Williams,2561469,DB,LAR,DET,2.58,0.66,,0.09,0.09,,,0.04,,,,,,0.52,,1.92,,6.24,103,618,0.00,-6.24
Dee Williams,2572789,DB,CLE,@CHI,,,,,,,,,,,,,,,,,,0.00,621,619,0.00,0.0
Joshua Williams,2567814,DB,KC,LAC,0.35,0.24,,,,,,,,,,,,,,,,0.67,237,620,0.00,-0.67
Major Williams,2574259,DB,FA,Bye,,,,,,,,,,,,,,,,,,,622,621,0.00,
Divaad Wilson,2571032,DB,FA,Bye,,,,,,,,,,,,,,,,,,,624,622,0.00,
Marco Wilson,2566439,DB,CIN,BAL,,,,,,,,,,,,,,,,,,0.00,625,623,0.00,0.0
Rashad Wisdom,2573593,DB,TB,ATL,,,,,,,,,,,,,,,,,,0.00,626,624,0.00,0.0
Ahkello Witherspoon,2558157,DB,LAR,DET,,,,,,,,,,,,,,,,,,0.00,627,625,0.00,0.0
Samuel Womack,2568219,DB,NYJ,@JAX,,,,,,,,,,,,,,,,,,0.00,628,626,0.00,0.0
A.J. Woods,2573617,DB,ATL,@TB,,,,,,,,,,,,,,,,,,0.00,629,627,0.00,0.0
JT Woods,2568195,DB,FA,Bye,,,,,,,,,,,,,,,,,,,631,628,0.00,
Xavier Woods,2558159,DB,TEN,@SF,2.74,1.68,,0.16,0.11,,0.05,,,,,,,0.32,,2.1,,6.66,94,629,0.00,-6.66
